trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,variant,label,exp_ci_lo,exp_ci_hi,win_ci_lo,win_ci_hi,bootstrap_days,verdict
3627,0.14254204576785223,0.8384339674662256,0.01902398676592225,-1.740812425875851,-2.052301781174332,0.7116056061721464,0.7794992984656335,-2.1972508267505413,-2.219710242986164,0.3238617992578125,0.07512805537674302,6433.877127560461,85638.80823610617,-79204.9311085455,-1.740812425875851,-6313.926668651712,,45,-23.80482947882304,-59.059547687796005,-148.08480114461975,1.3270091730004216,1.1439628916025686,0.7830921476216358,-1.9480825838963,0.2277182008285833,-1.812507213855505,0.4044665012406948,0.2985938792390405,0.1494347945960849,0.5952577888061759,0.4141163496002206,0.006617038875103391,0.01626688723462917,1453,A,First pullback,-1.7885448964758934,-1.6919459043933558,0.13082969290978702,0.15477493667890924,1453,NEGATIVE EDGE
2428,0.15238879736408567,0.8253706754530478,0.022240527182866558,-1.643737038655339,-2.00695836728411,0.7202686799074521,0.8077129802786991,-2.1244135261902537,-2.1532166819614806,0.33904353885334276,0.08298539710892293,4829.735344453142,58199.82204958116,-53370.08670512797,-1.643737038655339,-3990.993529855163,,35,-22.68736169818639,-46.570412043564886,-107.78178056080989,1.284473488156728,1.0852510057809215,0.7860581672481236,-1.887234921655001,0.26461057702645396,-1.7739896523155618,0.4126853377265239,0.3035420098846787,0.1544481054365733,0.5869028006589786,0.43492586490939045,0.0016474464579901153,0.005354200988467875,1140,B,+ VWAP/EMA/MACD,-1.7008176057028974,-1.5860815460118107,0.13769813956992066,0.16735705461361502,1140,NEGATIVE EDGE
533,0.17448405253283303,0.8048780487804879,0.020637898686679174,-1.49657916880894,-1.8218616405797805,0.7094727711735812,0.8231664495256339,-2.0130767264059926,-1.9740593471268453,0.3524320567950853,0.10252602722449582,1304.5819376919483,12724.397628666273,-11419.81569097433,-1.49657916880894,-797.676696975165,,22,-11.082512492594287,-11.082512492594287,-22.34275751777657,1.2938516422605384,1.0815112436493763,0.7839432147224243,-1.7833694094582295,0.2999870607788423,-1.688199597172912,0.425891181988743,0.31894934333958724,0.14821763602251406,0.574108818011257,0.3339587242026266,0.01125703564727955,0.03189493433395872,416,C,+ Confluence,-1.6098737051564167,-1.380028800560806,0.14231499051233396,0.20952690166975876,416,NEGATIVE EDGE
199,0.1407035175879397,0.8391959798994975,0.020100502512562814,-1.6051421355357616,-1.9441830801839823,0.7867904624547447,0.940313309942677,-2.0450572995885845,-2.0501734347332894,0.38472783262015575,0.08966899225912632,406.42964521863234,4532.555067019467,-4126.125421800837,-1.6051421355357616,-319.42328497161657,,23,-7.485366789468201,-8.294351023210103,-9.997204217914803,1.3350819866329169,1.143265708588043,0.7884706885231975,-1.8420551549354072,0.2822609988282212,-1.710508309651768,0.4221105527638191,0.31155778894472363,0.1507537688442211,0.5778894472361809,0.271356783919598,0.020100502512562814,0.07537688442211055,169,D,+ Pullback volume,-1.7992688493064142,-1.4095112929384177,0.09134615384615384,0.1921182266009852,169,NEGATIVE EDGE
162,0.13580246913580246,0.8333333333333334,0.030864197530864196,-1.6540722602132167,-1.9716778318198842,0.8293554986354525,0.9545922364623249,-2.1202843651428345,-2.161433058240655,0.3911529567778435,0.09276275890438943,330.90808180616193,3567.251402550768,-3236.3433207446064,-1.6540722602132167,-267.9597061545411,,25,-7.485366789468201,-8.294351023210103,-9.997204217914803,1.3871102545502312,1.1949108158707786,0.8028978532200709,-1.872641815745085,0.27523452567910783,-1.686159942278246,0.41975308641975306,0.32098765432098764,0.16049382716049382,0.5802469135802469,0.2777777777777778,0.024691358024691357,0.09259259259259259,138,E,+ HOD room,-1.8827520005269207,-1.420348336768044,0.08333333333333333,0.19497238840312925,138,NEGATIVE EDGE
1542,0.1549935149156939,0.8164721141374838,0.028534370946822308,-1.6257824616133694,-2.0501236753003966,0.6731195503401429,0.7015492844926324,-2.119050942198956,-2.1810298551689726,0.31765142448233996,0.07895812595699661,2692.0797828779096,34095.03138846167,-31402.95160558375,-1.6257824616133694,-2506.9565558078157,,26,-25.96743037960862,-39.33148881728663,-63.781174082294186,1.2941145668464473,1.1117518408570533,0.8011360874393828,-1.8953313768635751,0.2701228778693089,-1.7500230241186727,0.4143968871595331,0.311284046692607,0.15304798962386512,0.5849546044098574,0.32944228274967574,0.0006485084306095979,0.009727626459143969,859,F,Full strategy,-1.6972275812299369,-1.5534056280642434,0.13492524065423622,0.17510025035743434,859,NEGATIVE EDGE
