variant,parameter,value,shipped,trades,expectancy_r,win_rate,profit_factor,max_dd_r,ci_lo,ci_hi
A,max_stop_pct,1.5,False,1196,-2.1142861367551014,0.11454849498327759,0.048954712536858944,-2528.686219559101,-2.2059679128912535,-2.025312149947829
A,max_stop_pct,2.0,False,2248,-1.9090531251912017,0.12855871886120995,0.06010288993744991,-4291.551425429821,-1.9746136580845226,-1.843061146338495
A,max_stop_pct,3.0,True,3627,-1.740812425875851,0.14254204576785223,0.07512805537674304,-6313.926668651712,-1.7885448964758934,-1.6919459043933558
A,max_stop_pct,4.5,False,4284,-1.6445101329474963,0.15056022408963585,0.0827868641546236,-7045.646970924644,-1.690013799431195,-1.5980845475982592
A,max_stop_pct,6.0,False,4438,-1.6054777720688365,0.1597566471383506,0.09079095707977924,-7125.675913819066,-1.6501319805525831,-1.5598365542343735
A,max_stop_pct,9.0,False,4462,-1.5960292415274242,0.1622590766472434,0.0923717901486315,-7122.0480370729365,-1.6402497213198952,-1.550353982761758
A,max_pb_volume_ratio,0.5,False,3627,-1.740812425875851,0.14254204576785223,0.07512805537674304,-6313.926668651712,-1.7885448964758934,-1.6919459043933558
A,max_pb_volume_ratio,0.6,False,3627,-1.740812425875851,0.14254204576785223,0.07512805537674304,-6313.926668651712,-1.7885448964758934,-1.6919459043933558
A,max_pb_volume_ratio,0.7,True,3627,-1.740812425875851,0.14254204576785223,0.07512805537674304,-6313.926668651712,-1.7885448964758934,-1.6919459043933558
A,max_pb_volume_ratio,0.8,False,3627,-1.740812425875851,0.14254204576785223,0.07512805537674304,-6313.926668651712,-1.7885448964758934,-1.6919459043933558
A,max_pb_volume_ratio,0.9,False,3627,-1.740812425875851,0.14254204576785223,0.07512805537674304,-6313.926668651712,-1.7885448964758934,-1.6919459043933558
A,max_retracement_pct,30.0,False,1146,-1.69788885277113,0.15794066317626526,0.0843563577656221,-1945.780625275715,-1.7861132244205713,-1.611343293835889
A,max_retracement_pct,40.0,False,2476,-1.7058025218575983,0.14822294022617125,0.07793736141417325,-4224.522396528197,-1.7660020553096596,-1.6448098012307257
A,max_retracement_pct,50.0,True,3627,-1.740812425875851,0.14254204576785223,0.07512805537674304,-6313.926668651712,-1.7885448964758934,-1.6919459043933558
