trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,config,exp_ci_lo,exp_ci_hi,verdict,end_equity,ruined,hypothesis
533,0.17448405253283303,0.8048780487804879,0.020637898686679174,-1.4965791688089398,-1.8218616405797803,0.7094727711735812,0.8231664495256339,-2.013076726405992,-1.9740593471268455,0.3524320567950854,0.10252602722449582,1304.5819376919483,12724.397628666273,-11419.81569097433,-1.4965791688089398,-797.6766969751649,,22,-11.082512492594287,-11.082512492594287,-22.34275751777657,1.2938516422605384,1.0815112436493763,0.7839432147224243,-1.7833694094582295,0.29998706077884235,-1.688199597172912,0.425891181988743,0.31894934333958724,0.14821763602251406,0.574108818011257,0.3339587242026266,0.01125703564727955,0.03189493433395872,416,0_frozen_C,-1.6098737051564167,-1.380028800560806,NEGATIVE EDGE,-0.18,True,"POST-FREEZE — measured on the same data as A-F, so it cannot confirm itself"
730,0.20136986301369864,0.7780821917808219,0.02054794520547945,-1.3334567258594276,-1.6630663618517283,0.7311238842974592,0.8956541784794113,-1.9029247193117504,-1.879523318778007,0.3842106189896424,0.1351068883490498,2397.2577955971014,17743.41652665233,-15346.158731055202,-1.3334567258594276,-973.4234098773821,,22,-11.082512492594287,-14.350559144102114,-25.108221346173732,1.2774745199127533,1.0345907738176048,0.826135460178065,-1.6909741040829898,0.396604221155112,-1.6075189170134458,0.4589041095890411,0.336986301369863,0.15753424657534246,0.541095890410959,0.33424657534246577,0.026027397260273973,0.023287671232876714,523,1_stop6,-1.4323562905862364,-1.2324355157692066,NEGATIVE EDGE,-0.47,True,"POST-FREEZE — measured on the same data as A-F, so it cannot confirm itself"
238,0.18487394957983194,0.7899159663865546,0.025210084033613446,-1.3576852827591062,-1.7649228361852054,0.7138936964658048,0.8049984969500681,-1.885766554829811,-1.9307447524772239,0.3785694971826633,0.11673263715491744,617.956979215061,5293.780679305326,-4675.823700090264,-1.3576852827591062,-323.1290972966673,,19,-6.498157893762058,-6.913212577867548,-11.845052049537712,1.222990026533279,0.995889472677141,0.75604233403914,-1.698704518503043,0.325823661555178,-1.6166973779812068,0.4369747899159664,0.31092436974789917,0.13445378151260504,0.5630252100840336,0.2815126050420168,0.008403361344537815,0.03361344537815126,207,2_clock,-1.5160720994514758,-1.1880042581341064,NEGATIVE EDGE,0.52,False,"POST-FREEZE — measured on the same data as A-F, so it cannot confirm itself"
533,0.17448405253283303,0.8048780487804879,0.020637898686679174,-1.4965791688089398,-1.8218616405797803,0.7094727711735812,0.8231664495256339,-2.013076726405992,-1.9740593471268455,0.3524320567950854,0.10252602722449582,1304.5819376919483,12724.397628666273,-11419.81569097433,-1.4965791688089398,-797.6766969751649,,22,-11.082512492594287,-11.082512492594287,-22.34275751777657,1.2938516422605384,1.0815112436493763,0.7839432147224243,-1.7833694094582295,0.29998706077884235,-1.688199597172912,0.425891181988743,0.31894934333958724,0.14821763602251406,0.574108818011257,0.3339587242026266,0.01125703564727955,0.03189493433395872,416,3_no_hod_room,-1.6098737051564167,-1.380028800560806,NEGATIVE EDGE,-0.18,True,"POST-FREEZE — measured on the same data as A-F, so it cannot confirm itself"
390,0.2076923076923077,0.7692307692307693,0.023076923076923078,-1.2223233492712526,-1.5749199038569164,0.6922806732686624,0.7191525511720315,-1.7758267670036678,-1.7748570957521266,0.3898357013937455,0.13620562643436776,1256.2985818912807,9223.543951737138,-7967.245369845853,-1.2223233492712526,-476.70610621578857,,12,-6.498157893762058,-7.285476557648558,-14.793379555241973,1.178408282740477,0.9346450920831142,0.8004822662661224,-1.6158265602282418,0.43921147654855625,-1.5265368274764977,0.47692307692307695,0.33076923076923076,0.13333333333333333,0.5230769230769231,0.3076923076923077,0.03333333333333333,0.020512820512820513,319,4_stop6_clock,-1.3478083899614675,-1.0930440908630434,NEGATIVE EDGE,0.43,False,"POST-FREEZE — measured on the same data as A-F, so it cannot confirm itself"
390,0.2076923076923077,0.7692307692307693,0.023076923076923078,-1.2223233492712526,-1.5749199038569164,0.6922806732686624,0.7191525511720315,-1.7758267670036678,-1.7748570957521266,0.3898357013937455,0.13620562643436776,1256.2985818912807,9223.543951737138,-7967.245369845853,-1.2223233492712526,-476.70610621578857,,12,-6.498157893762058,-7.285476557648558,-14.793379555241973,1.178408282740477,0.9346450920831142,0.8004822662661224,-1.6158265602282418,0.43921147654855625,-1.5265368274764977,0.47692307692307695,0.33076923076923076,0.13333333333333333,0.5230769230769231,0.3076923076923077,0.03333333333333333,0.020512820512820513,319,5_all_three,-1.3478083899614675,-1.0930440908630434,NEGATIVE EDGE,0.43,False,"POST-FREEZE — measured on the same data as A-F, so it cannot confirm itself"
2233,0.18987908643081056,0.7926556202418271,0.017465293327362293,-1.4271578927379194,-1.799191565787647,0.749577177583126,0.8686896755876305,-1.9801550811386448,-1.9880729634675012,0.37854468305184363,0.11579366071898924,6058.415707756546,52320.789153209786,-46262.37344545328,-1.4271578927379194,-3188.0370022421416,,24,-14.54525935991065,-29.12162979972626,-83.62982693236812,1.2975311459960406,1.0583229442506839,0.8578617610772329,-1.7903586258931992,0.3653830195692729,-1.6742144000804629,0.45051500223914015,0.3206448723690103,0.17196596506941333,0.5494849977608598,0.40035826242722794,0.012987012987012988,0.011195700850873265,1216,6_all_three_on_A,-1.486513895653328,-1.3686183213928707,NEGATIVE EDGE,0.36,False,"POST-FREEZE — measured on the same data as A-F, so it cannot confirm itself"
1294,0.21561051004636786,0.767387944358578,0.017001545595054096,-1.2974651935216408,-1.7174736097093952,0.7253170486149864,0.8456630134704148,-1.8948095660248654,-1.9400274443053458,0.38279152777164527,0.131336216556711,3840.130993514644,29238.934196467242,-25398.80320295261,-1.2974651935216408,-1679.6669592521318,,25,-12.733879928252502,-20.268184144401307,-33.84839548272483,1.2664390501563663,1.0124253750654806,0.8520155824108466,-1.7116375046411887,0.45262798472685145,-1.6168788284343671,0.47372488408037094,0.3400309119010819,0.17156105100463678,0.526275115919629,0.3268933539412674,0.0038639876352395673,0.006955177743431221,813,7_all_three_on_F,-1.3744586753713264,-1.223043207421747,NEGATIVE EDGE,-0.25,True,"POST-FREEZE — measured on the same data as A-F, so it cannot confirm itself"
