gate,n_accepted,n_rejected,exp_accepted,exp_rejected,win_accepted,win_rejected,ci_accepted,ci_rejected,winners_removed,losers_removed,separation
momentum,2252,1375,-1.6407402586045947,-1.9047124409266547,0.15097690941385436,0.12872727272727272,"[-1.701,-1.581]","[-1.988,-1.818]",177,1180,0.26397218232206
confluence,372,3255,-1.652054141048876,-1.7509562298560768,0.1639784946236559,0.1400921658986175,"[-1.810,-1.492]","[-1.803,-1.699]",456,2736,0.09890208880720075
pb_volume,1549,2078,-1.6931226204909968,-1.7763617562613794,0.15881213686249193,0.13041385948026948,"[-1.764,-1.622]","[-1.841,-1.711]",271,1774,0.08323913577038256
hod_room,3096,531,-1.8187427257956799,-1.2864391517670273,0.13016795865633074,0.21468926553672316,"[-1.872,-1.766]","[-1.403,-1.166]",114,408,-0.5323035740286526
halt_band,3619,8,-1.7399270851825723,-2.1413184219977777,0.14285714285714285,0.0,"[-1.790,-1.690]","[-2.764,-0.825]",0,8,0.40139133681520534
