trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,window,variant
185,0.1783783783783784,0.8162162162162162,0.005405405405405406,-1.572863360413529,-1.8350996430336628,0.6792934378505834,0.8079257268592338,-2.0756735934349484,-1.9895445007779304,0.32726409393032174,0.09198908107293684,399.79115372193394,4346.071827861235,-3946.2806741393006,-1.572863360413529,-291.87227195739337,-32700.933292652222,17.0,-10.53253678874166,-14.69380084297505,-28.64711264952999,1.243399862741294,1.0193248999689282,0.8435228044664878,-1.967833598502535,0.4285492441150433,-1.813397199448852,0.4756756756756757,0.33513513513513515,0.17297297297297298,0.5243243243243243,0.5621621621621622,0.0,0.016216216216216217,136.0,09:30-10:00,A
48,0.14583333333333334,0.8541666666666666,0.0,-1.828250014790555,-2.2093939046311606,0.5010670281260777,0.4240337175888025,-2.2259382904104674,-2.300119314814768,0.22510373728001237,0.04754122568813654,53.777642365774426,1131.179131109237,-1077.4014887434628,-1.828250014790555,-87.75600070994663,,13.0,-9.28898926761538,-9.28898926761538,-9.632413605364619,1.2655081762587435,1.1284712739459857,0.9629133109238133,-1.9862580115498896,0.19036998708044467,-1.9495467308180978,0.4166666666666667,0.3333333333333333,0.22916666666666666,0.5833333333333334,0.3125,0.020833333333333332,0.0625,38.0,10:00-10:30,A
118,0.0847457627118644,0.9067796610169492,0.00847457627118644,-2.043052186024374,-2.3674533394775055,0.7098667399261491,0.8247302031322853,-2.3191652784010395,-2.465486898185413,0.3060871713358741,0.044369503766359966,126.8728102870358,2859.4597531475692,-2732.5869428605333,-2.043052186024374,-241.30513020630883,,23.0,-6.522767518962839,-15.1822827450272,-24.302869995999497,1.3191158613647431,1.198405025245252,0.7085813044438057,-2.160125670467223,0.07549969563785165,-2.0289365648878914,0.3559322033898305,0.2627118644067797,0.11016949152542373,0.6440677966101694,0.3983050847457627,0.00847457627118644,0.00847457627118644,96.0,10:30-11:30,A
487,0.11909650924024641,0.8542094455852156,0.026694045174537988,-1.9163912966858554,-2.1763359709116985,0.6914755121121069,0.7700623707229852,-2.339934079910161,-2.303608106191145,0.29551068042850814,0.0590773247887565,660.1187834895455,11173.809678246946,-10513.690894757396,-1.9163912966858554,-933.2825614860116,,30.0,-14.889016084761327,-31.292979654877815,-88.97124839152002,1.3406731980007272,1.1857202252402446,0.7503506268022708,-1.9829730392699088,0.1122041470788206,-1.8649046037069916,0.38193018480492813,0.27720739219712526,0.1375770020533881,0.6180698151950719,0.39835728952772076,0.004106776180698152,0.02053388090349076,256.0,11:30-16:00,A
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premarket,A
140,0.17857142857142858,0.8214285714285714,0.0,-1.55504188569637,-1.8275171799017889,0.7670340517243557,0.9287963892631969,-2.059841002526962,-1.9418470947604776,0.37237536818782485,0.11828352413283466,382.93827557814893,3237.4608246208654,-2854.5225490427165,-1.55504188569637,-218.5984142783823,-24491.43974950945,16.0,-7.258080231051596,-14.487327628655068,-28.848583981475677,1.2683219911405068,1.0130001300744662,0.7793607610902442,-1.9770205273359351,0.3939390789256245,-1.805356678437799,0.4357142857142857,0.3142857142857143,0.17142857142857143,0.5642857142857143,0.5571428571428572,0.0,0.014285714285714285,114.0,09:30-10:00,B
27,0.18518518518518517,0.8148148148148148,0.0,-1.6094729028094945,-1.9228529767515057,0.45967667211111607,0.4240337175888025,-2.079734169836906,-2.2831288820626963,0.22102664791393228,0.05761105855413212,34.72866698036204,602.8125129436829,-568.083845963321,-1.6094729028094945,-43.45576837585635,,9.0,-5.77671344279726,-5.77671344279726,-8.076832757612028,1.2766241032404724,1.1318802768701364,0.7716376501402545,-1.78002590324754,0.1334747726773708,-1.8135651732393776,0.4444444444444444,0.3333333333333333,0.18518518518518517,0.5555555555555556,0.2962962962962963,0.0,0.0,24.0,10:00-10:30,B
63,0.12698412698412698,0.8571428571428571,0.015873015873015872,-1.7814237244256663,-2.250305827675932,0.7039928304865085,0.688571130049666,-2.1821017911385656,-2.3619319990384646,0.3226214438507852,0.06582978284773872,99.97579159673188,1518.7015249309165,-1418.7257333341843,-1.7814237244256663,-112.22969463881698,,11.0,-6.522767518962839,-15.1822827450272,-17.764192884189487,1.3033096447756125,1.136076516336047,0.8643166128859668,-2.0344888561187826,0.1785293288832388,-1.9375647542052212,0.3968253968253968,0.2857142857142857,0.14285714285714285,0.6031746031746031,0.4126984126984127,0.015873015873015872,0.0,52.0,10:30-11:30,B
227,0.11013215859030837,0.8414096916299559,0.048458149779735685,-1.7984739382219859,-2.10984750223779,0.7223734335993626,0.8456648428944538,-2.231726871309712,-2.276357172888434,0.3236836204671543,0.0612267395349739,328.11424989147815,5359.002494393041,-5030.888244501561,-1.7984739382219859,-408.2535839763908,,23.0,-13.70963377435925,-18.809854912773282,-43.56696272575745,1.3012096880686754,1.153100989984899,0.7771616376921424,-1.9599658163898923,0.2058265907117253,-1.8649046037069916,0.3964757709251101,0.29515418502202645,0.13215859030837004,0.6035242290748899,0.4581497797356828,0.0,0.0,142.0,11:30-16:00,B
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,premarket,B
