trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,baseline,ci_lo,ci_hi,verdict
3627,0.14254204576785223,0.8384339674662256,0.01902398676592225,-1.740812425875851,-2.0523017811743314,0.7116056061721464,0.7794992984656335,-2.1972508267505413,-2.2197102429861637,0.3238617992578125,0.07512805537674304,6433.87712756046,85638.80823610615,-79204.9311085455,-1.740812425875851,-6313.926668651712,,45,-23.80482947882304,-59.059547687796005,-148.08480114461975,1.3270091730004216,1.1439628916025686,0.7830921476216358,-1.9480825838963,0.22771820082858338,-1.812507213855505,0.4044665012406948,0.2985938792390405,0.1494347945960849,0.5952577888061759,0.4141163496002206,0.006617038875103391,0.01626688723462917,1453,base_A,-1.7885448964758934,-1.6919459043933558,NEGATIVE EDGE
1800,0.13444444444444445,0.8494444444444444,0.01611111111111111,-1.8648178322585285,-2.1823954887834502,0.6948860289874867,0.7626814024753015,-2.305365203093116,-2.3149127674707786,0.30142123601725046,0.06890547573012906,2847.984262461164,41331.755310933535,-38483.77104847242,-1.8648178322585285,-3358.224221667971,-216363.19530218674,36,-17.171640585482784,-42.31203730952818,-72.73635772688817,1.356057166118434,1.183506412326452,0.7992135278659618,-2.014890721582384,0.192285551415172,-1.8737872588931745,0.4022222222222222,0.2961111111111111,0.14944444444444444,0.5972222222222222,0.415,0.011666666666666667,0.028333333333333332,1095,pullback_1_only,-1.9335780613793996,-1.7924319333452294,NEGATIVE EDGE
819,0.13186813186813187,0.8485958485958486,0.019536019536019536,-1.7450206074977006,-2.07030417502504,0.7219264219317929,0.7700176098421357,-2.168809578260166,-2.1931772282826993,0.332867592050625,0.07075374769908262,1409.8604681972106,19926.30092462919,-18516.440456431985,-1.7450206074977006,-1429.1718775406168,,28,-13.13217082893029,-25.826656815654477,-56.62537704240714,1.3027169918296613,1.1269395513175862,0.7584379931660991,-1.9372370701241646,0.29309198655846325,-1.811151100912798,0.4261294261294261,0.2967032967032967,0.1391941391941392,0.5738705738705738,0.4468864468864469,0.004884004884004884,0.007326007326007326,605,pullback_2_only,-1.844948907030961,-1.647219841410994,NEGATIVE EDGE
767,0.15384615384615385,0.8200782268578879,0.02607561929595828,-1.5677998405719138,-1.9525047094866386,0.7256377437768446,0.8120201883094051,-2.0475835724925684,-2.090665235007133,0.3543873634879332,0.08003283744866198,1527.5997093927726,19087.161696255862,-17559.56198686307,-1.5677998405719138,-1202.6567965914335,-779332.2844834672,25,-15.514586303009464,-18.17022891132825,-32.822779444039945,1.2337983548358618,1.0308131942621703,0.7372700413041698,-1.8699097331583387,0.1956214312809429,-1.7415744525630679,0.37809647979139505,0.28683181225554105,0.14993481095176012,0.621903520208605,0.39895697522816165,0.0,0.0,488,pullback_3plus,-1.6649867577462294,-1.4706844031150128,NEGATIVE EDGE
1656,0.10567632850241546,0.8725845410628019,0.021739130434782608,-1.9155506341868758,-2.0570415221695093,0.826829721932523,0.942541764551869,-2.295612618757931,-2.1761098805214405,0.36017824400176424,0.061422568067163945,3098.5142670835835,50445.85995973728,-47347.34569265366,-1.9155506341868758,-3172.1587571246837,,75,-17.400034041037756,-38.267456568548255,-74.94618571529595,1.279372004037606,1.0983287201128349,0.6757170349537236,-2.0289929171220837,0.1871717179079387,-1.8823237164761393,0.37318840579710144,0.25966183574879226,0.11775362318840579,0.6268115942028986,0.657608695652174,0.00785024154589372,0.009057971014492754,921,trigger_shift_up_5t,-1.987915712771038,-1.84275945534078,NEGATIVE EDGE
7435,0.12293207800941493,0.8633490248823134,0.013718897108271687,-2.2452321367809054,-2.3011316497998995,0.632359329050445,0.6422171813771331,-2.6907229443206897,-2.5046103271843005,0.23501465670598534,0.057884722309676125,9320.431721278543,161017.1276527057,-151696.69593142718,-2.2452321367809054,-16693.804455314632,,56,-65.90284465222595,-133.1882705555041,-382.93352853280265,1.8432618131626652,1.7259342538556313,0.8595043337498068,-2.4007379711673824,0.12513254322726694,-2.0850602659878907,0.4069939475453934,0.3145931405514459,0.17646267652992603,0.5930060524546066,0.37767316745124413,0.0039004707464694015,0.02488231338264963,1853,trigger_shift_down_5t,-2.295403786247719,-2.193531195701625,NEGATIVE EDGE
42510,0.258974358974359,0.7106327922841684,0.030392848741472595,-0.9397260987111313,-1.3192169172119925,0.7125976827636363,0.7636200278512769,-1.5820200436419372,-1.5670200370529908,0.4504353061944647,0.21769529496256643,259068.48213886932,1190050.9020345027,-930982.419895634,-0.9397260987111313,-39947.75645621019,,26,-69.32968565133122,-165.34421222808007,-509.0944052166277,1.332907514035533,1.10486548284734,1.1542476395007975,-1.0126668228823836,0.9324291491189689,-1.0441073205221514,0.642060691601976,0.4837920489296636,0.2534227240649259,0.3579157845212891,0.0,0.10190543401552576,0.0,2516,random_entry_x5,-0.9603465781801319,-0.919703623972799,NEGATIVE EDGE
