step,trades_a,trades_b,trades_removed,exp_a,exp_b,exp_delta,pf_a,pf_b,dd_a,dd_b,dd_improved,ci_a,ci_b,ci_width_a,ci_width_b
B-A,3627,2428,1199,-1.740812425875851,-1.643737038655339,0.09707538722051212,0.07512805537674302,0.08298539710892293,-6313.926668651712,-3990.993529855163,True,"[-1.789,-1.692]","[-1.701,-1.586]",0.09659899208253764,0.11473605969108669
C-B,2428,533,1895,-1.643737038655339,-1.49657916880894,0.1471578698463989,0.08298539710892293,0.10252602722449582,-3990.993529855163,-797.676696975165,True,"[-1.701,-1.586]","[-1.610,-1.380]",0.11473605969108669,0.2298449045956108
D-C,533,199,334,-1.49657916880894,-1.6051421355357616,-0.10856296672682153,0.10252602722449582,0.08966899225912632,-797.676696975165,-319.42328497161657,True,"[-1.610,-1.380]","[-1.799,-1.410]",0.2298449045956108,0.38975755636799647
E-D,199,162,37,-1.6051421355357616,-1.6540722602132167,-0.04893012467745517,0.08966899225912632,0.09276275890438943,-319.42328497161657,-267.9597061545411,True,"[-1.799,-1.410]","[-1.883,-1.420]",0.38975755636799647,0.46240366375887665
F-E,162,1542,-1380,-1.6540722602132167,-1.6257824616133694,0.02828979859984737,0.09276275890438943,0.07895812595699661,-267.9597061545411,-2506.9565558078157,False,"[-1.883,-1.420]","[-1.697,-1.553]",0.46240366375887665,0.14382195316569346
