trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,variant,cost_model,ambiguity_policy
51,0.39215686274509803,0.6078431372549019,0.0,-0.27414268990264695,-1.0,1.157132545075614,1.5,-1.1975460673079765,-1.0,0.966253054195059,0.7706055386638976,327.4589787833029,424.9372244988825,-97.47824571557949,-0.27414268990264695,-15.481277185034996,-1032.0851456689998,4.0,-7.071242679826904,-11.091661680044059,-11.091661680044059,1.406777744112037,0.9411500792694852,1.2901644734657693,-1.2932406955561493,0.7512528972687872,-1.1666664547389107,0.6862745098039216,0.4117647058823529,0.2549019607843137,0.3137254901960784,0.3333333333333333,0.0196078431372549,0.0392156862745098,19.0,A,gross,pessimistic
50,0.44,0.56,0.0,-0.2681835868888398,-1.0,1.1371937243857566,1.5,-1.3724086171760226,-1.0,0.8286116176723934,0.7716836692837897,352.5290260664754,456.83100485158957,-104.30197878511417,-0.2681835868888398,-15.543472864565231,-1036.2315243043488,5.0,-10.426754812781486,-10.9465658178626,-10.9465658178626,1.5341948872122175,1.0645020957202207,1.459205960673407,-1.476958840201282,0.9990889090676673,-1.2329294800632606,0.78,0.46,0.3,0.22,0.34,0.02,0.04,19.0,A,gross,optimistic
33,0.5757575757575758,0.42424242424242425,0.0,0.2569507703081628,0.4963503649635036,1.1917184685006463,1.5,-1.011662534381636,-1.0,1.1779802335262588,1.901522302376958,324.1389803664023,170.46288647849101,153.6760938879113,0.2569507703081628,-5.1465061161622465,-37.77007823266161,3.0,-2.142856481125751,-3.1465061161622474,3.118990192872661,1.164463538289334,0.5083256005037298,1.7135860666718374,-1.0376987480166722,1.5000020027176009,-0.9374997615805029,0.8181818181818182,0.5757575757575758,0.3939393939393939,0.18181818181818182,0.0,0.030303030303030304,0.030303030303030304,16.0,A,gross,exclude
51,0.27450980392156865,0.7058823529411765,0.0196078431372549,-1.0273990607530088,-1.4004319466161186,0.7851089341852691,0.9430424364495436,-1.7609882570086517,-1.738145712696967,0.4458342814386024,0.2587711936792402,180.1819243007469,696.2982306449899,-516.1163063442427,-1.0273990607530088,-52.39735209840345,,12.0,-12.506936614946659,-22.79387162040937,-29.603480477994076,1.5643986720103196,1.3103548195586974,1.0674155324733479,-1.5785632356024397,0.4721915975808374,-1.428455724672871,0.49019607843137253,0.39215686274509803,0.21568627450980393,0.5098039215686274,0.3333333333333333,0.0196078431372549,0.0392156862745098,19.0,A,low,pessimistic
50,0.3,0.68,0.02,-1.073043073507038,-1.4546258781740737,0.8053557840944452,0.9646293359481216,-1.9335056032965534,-1.9078949982781348,0.41652622196767586,0.2669743401698363,195.6321835119966,732.7752299623431,-537.1430464503462,-1.073043073507038,-53.652153675351904,,11.0,-15.867138278786763,-22.87469125749182,-30.777462417860086,1.6847094414227566,1.4104712634794587,1.2200016769926152,-1.7593617774608417,0.650463708258828,-1.5095339638666072,0.56,0.42,0.24,0.44,0.34,0.02,0.04,19.0,A,low,optimistic
33,0.42424242424242425,0.5454545454545454,0.030303030303030304,-0.45136472856517634,-0.0608499357825544,0.7851089341852691,0.9430424364495436,-1.4385145109199347,-1.6995019834562741,0.5457775561006954,0.6180332798293505,180.1819243007469,291.5408120910547,-111.35888779030785,-0.45136472856517634,-18.715959431154708,-489.8281783787109,5.0,-4.471189481270417,-7.773424395722634,-14.337852931613444,1.2844159729954898,0.9295919540863151,1.4974522633499392,-1.3046205396290464,1.2999917244421415,-1.0847197527838215,0.6363636363636364,0.5757575757575758,0.3333333333333333,0.36363636363636365,0.0,0.030303030303030304,0.030303030303030304,16.0,A,low,exclude
49,0.16326530612244897,0.8367346938775511,0.0,-1.7749070404017677,-1.850515841894624,0.7678875072995155,0.7807560322809481,-2.2710620740995795,-2.361842519388568,0.33811823818332404,0.11643760877029218,108.96347691427422,935.8099849786257,-826.8465080643515,-1.7749070404017677,-86.97044497968662,,16.0,-16.521192302754017,-32.40476595726039,-54.56567902242625,1.9036718833289898,1.7422423750770517,0.9403980072788773,-2.1242651641459513,0.0817113564767605,-1.8561596990290032,0.42857142857142855,0.3877551020408163,0.20408163265306123,0.5714285714285714,0.30612244897959184,0.02040816326530612,0.04081632653061224,18.0,A,realistic,pessimistic
48,0.1875,0.8125,0.0,-1.8379239294556164,-2.163322841205499,0.7708185318477889,0.7942667282339765,-2.439941420525633,-2.529338609595717,0.3159168188889275,0.12449854173837474,120.23413742213182,965.7473552967048,-845.5132178745729,-1.8379239294556164,-88.22034861386959,,15.0,-19.889979459890313,-32.50413592746533,-55.71621268640428,2.005277799903526,1.8229363315418288,1.0498056348940652,-2.276837846239499,0.42377049446578813,-1.865590025110454,0.4791666666666667,0.4166666666666667,0.20833333333333334,0.5208333333333334,0.3125,0.020833333333333332,0.041666666666666664,18.0,A,realistic,optimistic
33,0.24242424242424243,0.7575757575757576,0.0,-1.185470108233267,-0.8007008659568035,0.7678875072995155,0.7807560322809481,-1.8105445452037576,-1.850515841894624,0.42411964363632815,0.21996286114473268,108.96347691427422,495.3721566777479,-386.4086797634736,-1.185470108233267,-39.691521382377815,-6951.134579947373,11.0,-7.306908813938882,-15.289432069935035,-34.15434404568381,1.5674914743154658,1.3374729494893842,1.2965194089143837,-1.868117017387379,1.2304570056784077,-1.7470893584488982,0.6060606060606061,0.5454545454545454,0.2727272727272727,0.3939393939393939,0.0,0.030303030303030304,0.030303030303030304,16.0,A,realistic,exclude
4,0.25,0.75,0.0,-0.5169966018255368,-0.4346507358490799,0.9475551943945508,0.9475551943945508,-1.0051805338988993,-0.6434268569823853,0.9426716519461126,0.36231661782968333,21.34098357980865,58.901476028462355,-37.560492448653704,-0.5169966018255368,-3.0155416016966976,-318.2444272941278,3.0,-2.146240129998538,-1.4245595503197614,-1.4245595503197614,1.278030132495951,0.9657451992433097,1.4663535718768859,-1.4010577769177215,1.5807640257126472,-1.4143261979274593,0.75,0.75,0.25,0.25,0.25,0.0,0.0,3.0,A,stressed,pessimistic
