step,trades_a,trades_b,trades_removed,exp_a,exp_b,exp_delta,pf_a,pf_b,dd_a,dd_b,dd_improved,ci_a,ci_b,ci_width_a,ci_width_b
B-A,3627,2428,1199,-1.740812425875851,-1.643737038655339,0.09707538722051212,0.07512805537674302,0.08298539710892293,-6313.926668651712,-3990.993529855163,True,"[-1.789,-1.692]","[-1.701,-1.586]",0.09659899208253764,0.11473605969108669
D_noconf-B,2428,1114,1314,-1.643737038655339,-1.552174134970514,0.09156290368482489,0.08298539710892293,0.09105711357715958,-3990.993529855163,-1729.1219863571525,True,"[-1.701,-1.586]","[-1.635,-1.470]",0.11473605969108669,0.1644719872883993
E_noconf-D_noconf,1114,924,190,-1.552174134970514,-1.6199644370191035,-0.06779030204858949,0.09105711357715958,0.08340124753809466,-1729.1219863571525,-1496.8471398056518,True,"[-1.635,-1.470]","[-1.714,-1.524]",0.1644719872883993,0.18972131332703124
F-E_noconf,924,1542,-618,-1.6199644370191035,-1.6257824616133694,-0.005818024594265836,0.08340124753809466,0.07895812595699661,-1496.8471398056518,-2506.9565558078157,False,"[-1.714,-1.524]","[-1.697,-1.553]",0.18972131332703124,0.14382195316569346
