year,ticker_days,sessions,names
2016,986,215,645
2017,1147,245,676
2018,1225,247,754
2019,1193,249,741
2020,4565,252,1822
2021,3012,252,1411
2022,1891,246,1176
2023,1903,247,1176
2024,2844,252,1459
2025,3848,250,1798
2026,3102,160,1447
