trades,win_rate,loss_rate,be_rate,avg_r,median_r,avg_winner_r,median_winner_r,avg_loser_r,median_loser_r,realized_rr,profit_factor,gross_profit,gross_loss,net_pnl,expectancy_r,max_dd_r,max_dd_pct,longest_losing_streak,worst_day_r,worst_week_r,worst_month_r,stdev_r,downside_dev_r,avg_mfe_r,avg_mae_r,median_mfe_r,median_mae_r,pct_reach_0p5r,pct_reach_1r,pct_reach_2r,pct_stopped_before_0p5r,ambiguous_share,halt_share,participation_capped_share,sessions,variant,label,exp_ci_lo,exp_ci_hi,verdict
3627,0.14254204576785223,0.8384339674662256,0.01902398676592225,-1.740812425875851,-2.052301781174332,0.7116056061721464,0.7794992984656335,-2.1972508267505413,-2.219710242986164,0.3238617992578125,0.07512805537674302,6433.877127560461,85638.80823610617,-79204.9311085455,-1.740812425875851,-6313.926668651712,,45,-23.80482947882304,-59.059547687796005,-148.08480114461975,1.3270091730004216,1.1439628916025686,0.7830921476216358,-1.9480825838963,0.2277182008285833,-1.812507213855505,0.4044665012406948,0.2985938792390405,0.1494347945960849,0.5952577888061759,0.4141163496002206,0.006617038875103391,0.01626688723462917,1453,A,First pullback,-1.7885448964758934,-1.6919459043933558,NEGATIVE EDGE
2428,0.15238879736408567,0.8253706754530478,0.022240527182866558,-1.643737038655339,-2.00695836728411,0.7202686799074521,0.8077129802786991,-2.1244135261902537,-2.1532166819614806,0.33904353885334276,0.08298539710892293,4829.735344453142,58199.82204958116,-53370.08670512797,-1.643737038655339,-3990.993529855163,,35,-22.68736169818639,-46.570412043564886,-107.78178056080989,1.284473488156728,1.0852510057809215,0.7860581672481236,-1.887234921655001,0.26461057702645396,-1.7739896523155618,0.4126853377265239,0.3035420098846787,0.1544481054365733,0.5869028006589786,0.43492586490939045,0.0016474464579901153,0.005354200988467875,1140,B,+ VWAP/EMA/MACD,-1.7008176057028974,-1.5860815460118107,NEGATIVE EDGE
1114,0.1687612208258528,0.800718132854578,0.03052064631956912,-1.552174134970514,-1.9945576122690147,0.6909432993089476,0.7508423203967923,-2.0842810062476995,-2.1690448773216806,0.33150198904937617,0.09105711357715958,2265.580168814542,24880.869597241785,-22615.289428427233,-1.552174134970514,-1729.1219863571525,,35,-18.556708578487314,-20.216163105268738,-45.54449477749404,1.30048298648297,1.101536072924759,0.817933050393148,-1.883004559437647,0.2801628705232184,-1.734806652486275,0.41921005385996407,0.322262118491921,0.1615798922800718,0.5798922800718133,0.296229802513465,0.0,0.013464991023339317,690,D_noconf,B + pullback volume (no confluence),-1.6345979314812211,-1.4701259441928218,NEGATIVE EDGE
924,0.1525974025974026,0.8127705627705628,0.03463203463203463,-1.6199644370191035,-2.056691463658439,0.7148310518055035,0.7613552278118055,-2.12750918597706,-2.226588715700904,0.3359943432992591,0.08340124753809466,1731.4061934026502,20759.95557035051,-19028.54937694785,-1.6199644370191035,-1496.8471398056518,,38,-18.556708578487314,-20.216163105268738,-46.03458929638499,1.3057889619463858,1.1151876306393982,0.8015711515811824,-1.9259742124785686,0.2685066066780303,-1.7634434781065198,0.4025974025974026,0.3116883116883117,0.1590909090909091,0.5963203463203464,0.3008658008658009,0.0,0.015151515151515152,604,E_noconf,D_noconf + HOD room,-1.7137946003426212,-1.52407328701559,NEGATIVE EDGE
1542,0.1549935149156939,0.8164721141374838,0.028534370946822308,-1.6257824616133694,-2.0501236753003966,0.6731195503401429,0.7015492844926324,-2.119050942198956,-2.1810298551689726,0.31765142448233996,0.07895812595699661,2692.0797828779096,34095.03138846167,-31402.95160558375,-1.6257824616133694,-2506.9565558078157,,26,-25.96743037960862,-39.33148881728663,-63.781174082294186,1.2941145668464473,1.1117518408570533,0.8011360874393828,-1.8953313768635751,0.2701228778693089,-1.7500230241186727,0.4143968871595331,0.311284046692607,0.15304798962386512,0.5849546044098574,0.32944228274967574,0.0006485084306095979,0.009727626459143969,859,F,Full strategy,-1.6972275812299369,-1.5534056280642434,NEGATIVE EDGE
