sym,day,prev_close,open_px,gap_pct,prior_dollar_volume_20d,split_on_day,reverse_split_ratio,source,scan_ts,scan_price,scan_gap_pct,scan_cum_volume,scan_dollar_volume,scan_rvol_at_time,qualified_intraday,float_m,float_provenance,catalyst,catalyst_source
AALG,2026-04-14,8.59,9.4,13.154831199068695,,False,,intraday,1776173700,9.72,13.154831199068695,44548.0,440355.2805,12.61268403171008,True,,unavailable,,
AAOG,2026-08-04,3.09,3.38,34.95145631067961,,False,,intraday,1785850500,4.17,34.95145631067961,2266480.0,8992314.458699992,6.057332024366734,True,,unavailable,,
AAOX,2026-08-04,13.86,15.2,35.13636363636365,,False,,intraday,1785850500,18.7299,35.13636363636365,7674124.0,140878214.7377,4.452794411177645,True,,unavailable,,
ABCL,2025-06-11,3.02,3.6,13.079470198675496,,False,,intraday,1749648900,3.415,13.079470198675496,2369506.0,8117853.064700001,8.580586208811239,True,,unavailable,,
ABP,2026-02-10,1.52,2.74,63.48684210526315,,False,,intraday,1770734100,2.485,63.48684210526315,28203499.0,78600091.7189,,True,,unavailable,,
ABSI,2025-01-08,3.07,3.39,23.08794788273616,,False,,intraday,1736346900,3.7788,23.08794788273616,34019398.0,150363191.19300002,216.29830874872837,True,,unavailable,,
ABSI,2026-06-24,7.41,7.484,43.31983805668015,,False,,intraday,1782308100,10.62,43.31983805668015,8763503.0,84319486.1458,22.859781562451904,True,,unavailable,,
ABTS,2026-06-02,2.14,2.56,38.78504672897196,,False,,intraday,1780407300,2.97,38.78504672897196,8823918.0,26994673.809100013,1.107644626543047,True,,unavailable,,
ABVE,2025-07-11,1.55,2.91,121.93548387096773,,False,,intraday,1752240900,3.44,121.93548387096773,96939676.0,345582350.20540005,210.58399782188715,True,,unavailable,,
ABVE,2025-07-17,1.68,2.13,48.2202380952381,,False,,intraday,1752759300,2.4901,48.2202380952381,39113860.0,108873347.56759994,6.286145182927094,True,,unavailable,,
ACB,2025-02-05,3.68,3.76,35.19021739130434,,False,,intraday,1738766100,4.975,35.19021739130434,11628767.0,54985911.00580002,142.32277528241156,True,,unavailable,,
ACCL,2026-01-16,2.99,7.04,27.424749163879593,,False,,intraday,1768574100,3.81,27.424749163879593,19606977.0,105433785.26619998,,True,,unavailable,,
ACHV,2025-10-17,3.08,4.05,24.353896103896094,,False,,intraday,1760708100,3.8301,24.353896103896094,2398662.0,9227921.374700002,144.7680608365019,True,,unavailable,,
ACHV,2026-04-16,3.55,3.51,16.602816901408463,,False,,intraday,1776346500,4.1394,16.602816901408463,1923322.0,7964724.021299999,7.615870141389396,True,,unavailable,,
ACON,2025-02-04,6.65,6.6,25.7142857142857,,False,,intraday,1738679700,8.36,25.7142857142857,5156337.0,47964147.6066,63.50129617428464,True,,unavailable,,
ACON,2025-03-03,3.35,4.03,103.28358208955221,,False,,intraday,1741012380,6.81,103.28358208955221,31900102.0,215454510.23989987,979.236627630347,True,,unavailable,,
ACON,2026-01-08,5.75,5.72,42.086956521739125,,False,,intraday,1767882900,8.17,42.086956521739125,23480902.0,198834904.44779977,,True,,unavailable,,
ACRS,2024-11-18,2.05,2.05,23.902439024390258,,False,,intraday,1731940500,2.54,23.902439024390258,2528344.0,5959650.113999999,74.11021221714152,True,,unavailable,,
ACXP,2025-10-08,4.29,7.25,58.97435897435898,,False,,intraday,1759930500,6.82,58.97435897435898,14193324.0,139977588.50149998,1876.6790955969852,True,,unavailable,,
ADD,2024-12-26,2.16,4.07,76.38888888888889,,False,,intraday,1735223700,3.81,76.38888888888889,15155140.0,67693605.47739998,12.551190523186431,True,,unavailable,,
ADEA,2025-12-22,12.77,14.23,25.5285826155051,,False,,intraday,1766414100,16.03,25.5285826155051,462406.0,7330984.673799999,8.594028491511091,True,,unavailable,,
ADN,2025-08-15,3.68,3.7,13.668478260869554,,False,,intraday,1755264900,4.183,13.668478260869554,236316.0,1023599.4741999999,2.0048697304680543,True,,unavailable,,
ADTX,2024-10-02,0.1111,4.05,4499.459945994599,,False,,intraday,1727876040,5.11,4499.459945994599,437119.0,2074694.6859999998,0.043195409607627626,True,,unavailable,,
ADTX,2024-10-04,1.94,2.0,45.87628865979382,,False,,intraday,1728048900,2.83,45.87628865979382,7931405.0,20263752.987999994,0.5326142948633449,True,,unavailable,,
ADTX,2025-03-17,0.0201,4.8842,22641.293532338306,,False,,intraday,1742218500,4.571,22641.293532338306,53293.0,252645.07630000002,0.00252326096431058,True,,unavailable,,
ADTX,2025-03-18,4.37,4.37,22.44393592677344,,False,,intraday,1742304900,5.3508,22.44393592677344,13763121.0,78599320.83360003,0.698664145052021,True,,unavailable,,
ADTX,2025-03-19,7.5,8.16,14.132000000000009,,False,,intraday,1742391300,8.5599,14.132000000000009,12643752.0,115572337.53850001,1.275166466242775,True,,unavailable,,
ADTX,2025-03-20,10.03,9.55,16.949152542372893,,False,,intraday,1742477700,11.73,16.949152542372893,5028839.0,58279997.8707,0.570159574962606,True,,unavailable,,
ADTX,2025-11-28,3.14,3.15,24.20382165605095,,False,,intraday,1764340500,3.9,24.20382165605095,15371874.0,64270406.402800016,563.1341905703923,True,,unavailable,,
ADVB,2026-04-07,4.42,7.32,57.2398190045249,,False,,intraday,1775568900,6.95,57.2398190045249,10799963.0,84800007.64220004,,True,,unavailable,,
ADVB,2026-07-20,5.03,6.41,25.149105367793233,,False,,intraday,1784554500,6.295,25.149105367793233,6071380.0,44828903.753899984,,True,,unavailable,,
ADVB,2026-07-23,12.25,11.49,30.53061224489796,,False,,intraday,1784813700,15.99,30.53061224489796,3167516.0,48518082.66679999,0.9048856436011267,True,,unavailable,,
AEHL,2026-05-13,2.11,2.29,29.853080568720387,,False,,intraday,1778679300,2.7399,29.853080568720387,26562368.0,77566483.09439997,0.8227190714708476,True,,unavailable,,
AEHL,2026-05-14,3.62,4.3,40.60773480662982,,False,,intraday,1778765700,5.09,40.60773480662982,20591108.0,110142576.60439998,1.1892144343574036,True,,unavailable,,
AEHR,2024-12-16,11.53,11.54,20.38161318300088,,False,,intraday,1734359700,13.88,20.38161318300088,1984889.0,27225633.68979999,81.02028681833025,True,,unavailable,,
AEO,2025-09-04,13.62,16.9,32.08516886930983,,False,,intraday,1756992900,17.99,32.08516886930983,15537007.0,273178056.8934,30.624044703161545,True,,unavailable,,
AEVA,2026-01-06,13.09,16.3,22.305576776165,,False,,intraday,1767710100,16.0098,22.305576776165,3351739.0,54716223.8745,58.46532275882921,True,,unavailable,,
AGEN,2026-07-13,3.35,3.28,62.98507462686567,,False,,intraday,1783949700,5.46,62.98507462686567,54751323.0,265956179.66299996,2459.9596980725164,True,,unavailable,,
AGIG,2026-03-02,4.18,4.88,14.107655502392358,,False,,intraday,1772462100,4.7697,14.107655502392358,1910559.0,9952226.561500002,6.580827494988323,True,,unavailable,,
AGL,2025-04-08,4.25,4.71,31.294117647058826,,False,,intraday,1744119300,5.58,31.294117647058826,1735885.0,9776262.782399999,39.573951501979586,True,,unavailable,,
AGMH,2025-09-19,2.23,5.72,222.8699551569507,,False,,intraday,1758288900,7.2,222.8699551569507,76044611.0,503044833.7061998,21808.032979638658,True,,unavailable,,
AGPU,2026-04-22,4.88,4.83,105.53073770491804,,False,,intraday,1776864900,10.0299,105.53073770491804,34284363.0,390328176.2574001,1559.549798712671,True,,unavailable,,
AGRI,2024-12-05,0.031,3.41,10880.322580645161,,False,,intraday,1733409300,3.4039,10880.322580645161,360924.0,1302203.0308000003,0.012352567642495309,True,,unavailable,,
AHMA,2025-12-01,4.81,5.27,126.81912681912684,,False,,intraday,1764599700,10.91,126.81912681912684,15025173.0,154851742.38830003,,True,,unavailable,,
AHMA,2025-12-03,12.25,12.79,28.48979591836735,,False,,intraday,1764772500,15.74,28.48979591836735,829610.0,12561874.256099997,0.10788010732224801,True,,unavailable,,
AHMA,2026-01-13,5.28,5.15,129.54545454545453,,False,,intraday,1768314900,12.12,129.54545454545453,24874967.0,261990668.3476999,,True,,unavailable,,
AHMA,2026-06-16,1.93,2.07,57.77202072538861,,False,,intraday,1781616900,3.045,57.77202072538861,24944377.0,77694171.3253,4.187076725264451,True,,unavailable,,
AHT,2025-12-10,3.16,4.37,24.680379746835442,,False,,intraday,1765377300,3.9399,24.680379746835442,2100235.0,8353412.883999999,,True,,unavailable,,
AIFF,2025-01-14,1.9,1.9,171.84210526315792,,False,,intraday,1736865300,5.165,171.84210526315792,58829630.0,242533228.8817001,24.808308959216788,True,,unavailable,,
AIFF,2025-02-11,3.1,3.1,32.09677419354838,,False,,intraday,1739284500,4.095,32.09677419354838,21148417.0,87782559.32650001,,True,,unavailable,,
AIFF,2025-02-12,8.4,9.81,32.5,,False,,intraday,1739370900,11.13,32.5,24419207.0,259819783.801,1.1546588569726046,True,,unavailable,,
AIFF,2025-02-13,12.97,13.71,24.518118735543545,,False,,intraday,1739457300,16.15,24.518118735543545,16916164.0,269980979.75070006,0.7424641671025024,True,,unavailable,,
AIFF,2025-02-18,9.01,9.74,11.764705882352947,,False,,intraday,1739889300,10.07,11.764705882352947,1888481.0,19194701.115699995,0.12772055925823536,True,,unavailable,,
AIFF,2025-05-05,3.27,3.25,20.489296636085623,,False,,intraday,1746452100,3.94,20.489296636085623,18970159.0,83491467.46869996,,True,,unavailable,,
AIFF,2025-06-20,3.0,2.91,22.033333333333335,,False,,intraday,1750426500,3.661,22.033333333333335,15243676.0,56038700.10749999,2239.7408169262417,True,,unavailable,,
AIFF,2025-08-26,2.59,2.59,21.760617760617766,,False,,intraday,1756215300,3.1536,21.760617760617766,28224879.0,93144203.84870003,1325.8586527621194,True,,unavailable,,
AIHS,2025-09-16,2.15,2.16,35.8139534883721,,False,,intraday,1758029700,2.92,35.8139534883721,38712684.0,132113516.92470002,1032.9993595901376,True,,unavailable,,
AIHS,2025-10-01,2.0,3.0,15.749999999999996,,False,,intraday,1759325700,2.315,15.749999999999996,1681081.0,4356057.277399998,44.340490069369345,True,,unavailable,,
AIIO,2026-05-14,2.61,3.0,55.93869731800768,,False,,intraday,1778765700,4.07,55.93869731800768,51425518.0,211206141.5856999,10.128442921949045,True,,unavailable,,
AIMD,2025-08-06,2.33,2.33,62.65665236051501,,False,,intraday,1754487300,3.7899,62.65665236051501,40448946.0,127626199.57539998,42.16765755425383,True,,unavailable,,
AIP,2025-08-05,9.45,14.84,46.084656084656096,,False,,intraday,1754400900,13.805,46.084656084656096,9646679.0,142796837.77059996,428.88742830890527,True,,unavailable,,
AIRS,2025-05-02,2.26,2.79,15.707964601769934,,False,,intraday,1746192900,2.615,15.707964601769934,408678.0,1097772.9453999999,,True,,unavailable,,
AIRS,2026-03-16,1.85,1.96,70.62162162162161,,False,,intraday,1773668100,3.1565,70.62162162162161,29229500.0,84337646.5427,579.4502760514239,True,,unavailable,,
AISP,2024-12-02,3.12,3.25,18.269230769230763,,False,,intraday,1733150100,3.69,18.269230769230763,975145.0,3471785.0903000007,13.557112138878333,True,,unavailable,,
AKAN,2025-10-17,2.23,3.13,13.448430493273545,,False,,intraday,1760708100,2.5299,13.448430493273545,11210054.0,34253415.23459996,398.31769325066176,True,,unavailable,,
AKAN,2026-01-12,0.4894,2.62,519.1254597466285,,False,,intraday,1768228500,3.03,519.1254597466285,649492.0,1818385.7348000002,1.9752845620765025,True,,unavailable,,
AKAN,2026-04-23,10.21,12.52,13.7120470127326,,False,,intraday,1776951300,11.61,13.7120470127326,16748518.0,252821438.32370007,,True,,unavailable,,
AKAN,2026-08-14,5.01,10.28,70.75848303393214,,False,,intraday,1786714500,8.555,70.75848303393214,7435232.0,66006927.631199904,2546.3123287671233,True,,unavailable,,
ALBT,2024-10-28,0.23,3.61,1799.9565217391303,,False,,intraday,1730122500,4.3699,1799.9565217391303,229206.0,954871.8805999999,0.02875867291149056,True,,unavailable,,
ALBT,2024-11-05,2.24,2.39,69.64285714285711,,False,,intraday,1730817300,3.8,69.64285714285711,25231844.0,112198503.20450002,357.9746612754487,True,,unavailable,,
ALBT,2024-12-06,2.66,2.99,118.42105263157892,,False,,intraday,1733495700,5.81,118.42105263157892,32854275.0,186519964.33769995,,True,,unavailable,,
ALCE,2024-10-11,0.0867,2.1,2956.5167243367932,,False,,intraday,1728653700,2.65,2956.5167243367932,140020.0,352888.79720000003,0.007159542459456401,True,,unavailable,,
ALDX,2024-11-18,4.21,4.2,15.86698337292162,,False,,intraday,1731940500,4.878,15.86698337292162,322203.0,1584043.5987999996,10.31764957036879,True,,unavailable,,
ALLO,2026-04-13,2.72,3.09,47.426470588235276,,False,,intraday,1776087300,4.01,47.426470588235276,29866151.0,127904179.5449,108.73625057342372,True,,unavailable,,
ALMS,2025-03-25,3.775,4.3,25.88874172185431,,False,,intraday,1742909700,4.7523,25.88874172185431,8694002.0,53032280.47650002,328.73301319620373,True,,unavailable,,
ALTM,2024-10-07,3.08,4.15,38.7987012987013,,False,,intraday,1728308100,4.275,38.7987012987013,18791681.0,77999006.08620001,24.90943928950159,True,,unavailable,,
ALTO,2026-03-05,2.6,3.3,34.615384615384606,,False,,intraday,1772721300,3.5,34.615384615384606,4414685.0,16200062.952700002,174.3235185721431,True,,unavailable,,
ALTS,2026-01-14,1.81,2.05,20.99447513812154,,False,,intraday,1768401300,2.19,20.99447513812154,4207967.0,9143774.760200001,14.432643135694661,True,,unavailable,,
ALUR,2025-01-24,3.7,7.11,170.54054054054052,,False,,intraday,1737729300,10.01,170.54054054054052,41393277.0,529413182.9173001,5619.505430355688,True,,unavailable,,
