sym,day,ts,et,kind,scan_ts,gap_pct,price,rvol_at_time,cum_volume,cum_dollar_volume,dollar_per_min_20,impulse_start_bar,impulse_peak_bar,push_start_price,push_peak,push_pct,push_atr,push_efficiency,push_rvol,push_dollar_volume,push_bars,pullback_number,pullback_bars,red_pullback_bars,pullback_low,pullback_depth_pct,pullback_volume_ratio,trigger,stop,uses_atr_stop,risk_per_share,risk_pct,risk_atr,target_t1,target_t2,planned_shares,vwap,ema9,ema20,macd,macd_hist,atr,confluence_count,support_reasons,hod_at_time,room_to_hod_r,is_new_high_trigger,halt_band_width,variant,gate_impulse,gate_pullback_structure,gate_retracement,gate_risk_structural,gate_momentum,gate_confluence,gate_pb_volume,gate_hod_room,gate_halt_band,passes_variant
AIRO,2026-08-13,1786627980,2026-08-13T09:33:00-04:00,pullback,1786628100,34.98233624378118,11.460000038146973,25.85127147766323,752272.0,8202786.546491623,410139.32732458116,163,164,10.550000190734863,11.779899597167969,11.6578140682236,6.2778022153398485,1.0,3.67436692566482,1097159.639825821,1,1,1,1,11.279999732971191,40.64558951585827,0.39652302181013593,11.725200424194336,11.51219598746232,True,0.21300443673201563,1.8166379168452607,1.000000000000002,11.938204860926351,12.151209297658367,96,10.696557174366964,10.7277229900121,10.307481754482493,0.3563451851378048,0.19900819578869655,0.2130044367320152,0,,11.779899597167969,0.2567982799459288,False,1.1460000038146974,A,True,True,True,True,True,False,True,False,True,True
AKAN,2026-08-14,1786716720,2026-08-14T10:12:00-04:00,pullback,1786714500,61.33132547779843,8.0826997756958,,9435091.0,74094894.16757107,222189.63283047677,369,371,7.579999923706055,8.100000381469727,6.860164419492902,2.547769416067933,1.0,2.6515549202775266,506232.3119945526,2,1,1,0,7.94350004196167,30.09619264204233,0.7361892949146074,8.10000015258789,7.93350004196167,False,0.16650011062622028,2.0555568825887582,0.8325588964371887,8.26650026321411,8.433000373840331,109,7.795605948732959,7.810027800135804,7.696963848856639,0.07975917222767048,0.06807122184837146,0.19998598458167055,0,,11.73,21.80178639977709,False,0.8082699775695801,A,True,False,True,True,True,False,False,True,True,False
AKAN,2026-08-14,1786716780,2026-08-14T10:13:00-04:00,pullback,1786714500,57.155678854281234,7.873499870300293,,9509298.0,74679162.97244644,244041.3355960846,369,371,7.579999923706055,8.100000381469727,6.860164419492902,2.547769416067933,1.0,2.6515549202775266,506232.3119945526,2,1,2,1,7.849999904632568,48.07697245350842,0.9581067328181153,8.209999809265137,7.999298544679831,True,0.21070126458530591,2.5663979230246223,0.9999999999999991,8.420701073850442,8.631402338435748,97,7.7970019698248665,7.822722214168701,7.713776803279845,0.0827504616824255,0.056850009042501176,0.2107012645853061,0,,11.73,16.70611800865454,False,0.7873499870300293,A,True,True,True,True,True,False,False,True,True,True
AKAN,2026-08-14,1786726920,2026-08-14T13:02:00-04:00,pullback,1786714500,44.710572231213284,7.25,,12195912.0,93828013.94193316,89350.87085111141,535,541,6.900000095367432,7.369999885559082,6.811591068052332,3.8018720186839423,0.7695430036955512,2.8588435853363015,149028.8911602497,6,1,1,1,7.217100143432617,32.53187454916041,1.690264396422147,7.359999904632568,7.207100143432617,False,0.15289976119995075,2.077442434526552,1.230226505060186,7.512899665832519,7.66579942703247,113,7.651036756143226,7.1072342707529765,7.011285699985059,0.091168854389017,0.03512920752511318,0.12428586164502323,0,,11.73,28.580817007638597,False,0.7250000000000001,A,True,True,True,True,False,False,False,True,True,True
AMIX,2026-07-29,1785332400,2026-07-29T09:40:00-04:00,pullback,1785332100,104.77454445578836,5.63129997253418,365.317630828373,23567371.0,108667150.12169838,5433357.506084919,333,336,4.670000076293945,5.980000019073486,28.051390179401043,5.730311223959799,1.0,1.966393392109614,10858926.369502544,2,1,1,1,5.480000019073486,38.16794059846342,0.38041238386524456,5.990000019073486,5.761391154462063,True,0.22860886461142282,3.816508579023065,1.0000000000000009,6.218608883684909,6.447217748296332,93,4.577804397360505,5.132647686293158,4.810400391929197,0.2748734437959408,0.15099987456836786,0.2286088646114226,0,,5.980000019073486,-0.04374283568136019,True,1.126259994506836,A,True,True,True,False,True,False,True,True,True,False
AMIX,2026-07-29,1785332460,2026-07-29T09:41:00-04:00,pullback,1785332100,124.72000122070312,6.179800033569336,,26410340.0,126236130.04333496,6311806.502166748,333,336,4.670000076293945,5.980000019073486,28.051390179401043,5.730311223959799,1.0,1.966393392109614,10858926.369502544,2,1,2,1,5.480000019073486,38.16794059846342,0.9703982096277788,6.810000190734863,6.514149096717546,True,0.29585109401731735,4.344362492380374,1.0000000000000009,7.10585128475218,7.401702378769498,80,4.752779015760761,5.342078155748394,4.940819405418734,0.348229698065345,0.1794849030702176,0.2958510940173171,0,,6.800000190734863,-0.03380078763343849,True,1.2359600067138672,A,True,True,True,False,True,False,False,True,True,False
AMIX,2026-07-29,1785332520,2026-07-29T09:42:00-04:00,pullback,1785332100,135.99999167702416,6.489999771118164,,28100545.0,137205560.10647774,6860278.005323887,333,336,4.670000076293945,5.980000019073486,28.051390179401043,5.730311223959799,1.0,1.966393392109614,10858926.369502544,2,1,3,1,5.480000019073486,38.16794059846342,0.956159207011102,6.7099998092651365,6.383852379806796,True,0.32614742945834063,4.860617566754589,0.9999999999999991,7.036147238723477,7.362294668181818,76,4.851255357340591,5.571662478822349,5.088360392628204,0.426479395453355,0.20618768036658208,0.3261474294583409,0,,6.800000190734863,0.2759499948204334,False,1.297999954223633,A,True,True,True,False,True,False,False,False,True,False
AMIX,2026-07-29,1785332580,2026-07-29T09:43:00-04:00,pullback,1785332100,158.42545249245384,7.1066999435424805,597.4230277866496,29928504.0,150196316.2285757,7509815.811428785,333,336,4.670000076293945,5.980000019073486,28.051390179401043,5.730311223959799,1.0,1.966393392109614,10858926.369502544,2,1,4,1,5.480000019073486,38.16794059846342,0.9679415247527742,7.26,6.885720244074397,True,0.3742797559256026,5.155368538920146,1.0000000000000009,7.634279755925602,8.008559511851205,69,4.97448810057929,5.878669971766375,5.280583207000992,0.5321214297205072,0.24946377170698741,0.37427975592560225,0,,7.25,-0.02671798258302684,True,1.421339988708496,A,True,True,True,False,True,False,False,True,True,False
AMIX,2026-07-29,1785339060,2026-07-29T11:31:00-04:00,pullback,1785332100,70.72727896950461,4.695000171661377,,54918539.0,289552449.08480835,335639.41649184225,442,446,4.730000019073486,5.0,5.7082448168658,2.546973007878402,0.7022761788870966,2.5070980951987307,576261.4037185907,4,1,1,1,4.630000114440918,137.0370043321542,1.6329099744040108,4.910000095367431,4.79227821243851,True,0.1177218829289215,2.397594310435792,0.9999999999999972,5.027721978296353,5.145443861225274,125,5.25574427582349,4.783116252667354,4.762073205302347,0.00978878844574016,0.014990939316305206,0.11772188292892183,0,,7.25,19.877357092949502,False,0.9390000343322754,A,True,True,False,True,False,False,False,True,True,False
AMIX,2026-07-29,1785340020,2026-07-29T11:47:00-04:00,pullback,1785332100,75.63636086203836,4.829999923706055,,55658400.0,293071148.00951195,312453.2277052641,461,462,4.650000095367432,4.960000038146973,6.666665299391688,3.05064296517775,1.0,2.77168938038601,843950.4069571495,1,1,1,1,4.78000020980835,58.06447147205811,0.720332354117054,4.919800052642822,4.8161691533752755,True,0.10363089926754654,2.106404694472858,0.9999999999999986,5.023430951910369,5.127061851177915,131,5.248967348155691,4.759767883149813,4.736739333976537,0.012073835045645964,0.019332320960105388,0.10363089926754669,0,,7.25,22.4855710393986,False,0.965999984741211,A,True,True,False,True,False,False,False,True,True,False
