date,ticker,nhd,filled,entry_min,entry,stop,mfe_r,bars_to_1r,bars_to_2r,stop_pct,after_hod,leg_pct,depth_pct_leg
2024-09-13,UPC,False,True,735.0,268.74,265.8,0.2040816326530498,,,1.0939941951328414,True,5.760151085930128,20.491803278688504
2024-09-13,UPC,False,True,743.0,283.02,276.0,3.863247863247874,6.0,9.0,2.48039007843968,True,8.56818181818182,46.949602122015925
2024-09-13,UPC,False,True,815.0,347.94,336.0,0.5075376884422114,,,3.431626142438351,True,15.724483889639199,48.83435582822087
2024-09-17,GLMD,True,True,267.0,45.04,43.68,9.82352941176471,0.0,0.0,3.0195381882770858,False,15.353535353535348,32.894736842105274
2024-09-17,GLMD,True,True,271.0,53.36,50.64,1.8529411764705888,0.0,,5.097451274362816,False,27.155963302752284,40.540540540540526
2024-09-17,GLMD,False,True,580.0,56.0,55.04,2.5833333333333277,2.0,2.0,1.7142857142857157,False,6.315789473684209,45.23809523809534
2024-09-17,GLMD,True,True,648.0,77.44,76.0,8.444444444444455,0.0,0.0,1.859504132231402,False,9.75609756097562,45.45454545454545
2024-09-17,GLMD,False,True,882.0,176.0,166.24,0.09016393442622912,,,5.5454545454545405,True,15.94293193717276,44.829398049325114
,,False,False,,,,,,,,,,
2024-09-30,DUO,False,True,280.0,30.88,30.56,1.0,0.0,,1.0362694300518145,False,5.978260869565211,36.36363636363644
2024-09-30,DUO,False,True,621.0,34.24,33.28,29.16666666666664,0.0,0.0,2.803738317757012,False,13.39621668986136,46.17160446325509
2024-09-30,DUO,False,True,625.0,38.56,37.28,1.0,1.0,,3.3195020746887995,False,27.855721393034845,42.84693695302731
2024-09-30,DUO,True,True,642.0,41.6,40.8,19.797999999999895,1.0,1.0,1.9230769230769333,False,23.245614035087733,49.056603773584925
2024-09-30,DUO,False,True,729.0,46.24,45.28,0.16666666666666297,,,2.07612456747405,False,7.749077490774907,42.8571428571428
2024-09-30,DUO,False,True,830.0,47.04,46.72,1.500000000000011,0.0,,0.6802721088435381,False,5.35714285714287,20.000000000000117
2024-09-30,DUO,False,True,929.0,47.04,44.96,7.3076923076923155,8.0,179.0,4.42176870748299,False,17.737921226247394,37.928730512249444
2024-09-30,DUO,False,True,957.0,49.12,47.92,1.6000000000000072,1.0,,2.442996742671001,False,6.9204152249134845,47.499999999999936
2024-09-30,DUO,True,True,1148.0,59.2,56.8,1.2666666666666633,1.0,,4.054054054054063,False,18.296529968454262,34.48275862068968
2024-10-02,API,True,True,301.0,4.7,4.61,0.33333333333333665,,,1.9148936170212736,False,14.219114219114225,47.54098360655736
2024-10-02,API,True,True,348.0,5.35,5.06,6.724137931034482,1.0,16.0,5.4205607476635524,False,15.106382978723405,49.295774647887406
2024-10-02,API,True,True,369.0,6.58,6.36,0.04545454545454454,,,3.3434650455927013,False,29.629629629629623,39.99999999999999
2024-10-02,API,False,True,489.0,6.55,6.43,6.666666666666659,1.0,2.0,1.8320610687022918,False,42.34491100743045,8.16159967353602
2024-10-02,API,False,True,493.0,6.82,6.68,3.7857142857142656,0.0,0.0,2.052785923753674,False,128.97,4.887441523868618
2024-10-02,API,False,True,644.0,5.59,5.5,1.0,1.0,,1.610017889087654,True,6.003752345215765,46.87500000000007
2024-10-02,API,False,True,740.0,4.3398,4.29,19.281124497991847,0.0,0.0,1.1475183188165419,True,6.097560975609756,23.999999999999844
2024-10-02,API,False,True,750.0,4.57,4.4908,1.010101010101009,0.0,,1.7330415754923447,True,5.057471264367831,35.999999999999964
2024-10-02,API,False,True,764.0,4.5,4.46,10.749999999999984,0.0,5.0,0.8888888888888897,True,5.787037037037036,44.00000000000013
2024-10-02,API,False,True,892.0,4.947,4.8721,0.2923898531375096,,,1.5140489185364951,True,7.028108177117694,47.80502573418119
2024-10-02,LX,False,True,607.0,4.105,4.07,0.9999999999999746,,,0.8526187576126708,True,9.840425531914898,16.216216216216107
2024-10-10,JTAI,True,True,474.0,7438.5,6988.5,1.77,1.0,,6.049606775559589,False,20.611229566453446,49.6551724137931
2024-10-10,JTAI,False,True,648.0,8190.0,7681.5,6.380530973451328,4.0,16.0,6.208791208791209,False,19.225806451612904,47.31543624161074
,,True,False,,,,,,,,,,
2024-10-10,JTAI,False,True,715.0,8190.0,8010.0,4.85,1.0,2.0,2.197802197802198,True,11.585365853658537,26.31578947368421
2024-10-22,NDRA,False,True,678.0,16.079,15.568,12.917808219178054,0.0,0.0,3.17805833696126,False,23.589468027941987,17.31207289293854
2024-10-22,NDRA,True,True,691.0,19.25,18.13,3.062499999999997,5.0,8.0,5.818181818181824,False,30.374157564489906,32.89977046671771
2024-10-22,NDRA,True,True,696.0,20.125,18.3855,1.4688128772635816,3.0,,8.643478260869562,False,27.071823204419886,40.57142857142856
2024-10-22,NDRA,False,True,793.0,17.4685,16.73,0.938388625592421,,,4.227609697455411,True,26.08486017357762,41.58964879852125
2024-10-22,NDRA,False,True,871.0,14.833,14.6615,3.3061224489795933,0.0,0.0,1.1562057574327511,True,7.121661721068256,49.65277777777779
,,False,False,,,,,,,,,,
2024-10-24,TC,True,True,643.0,84.2,76.8,0.24324324324324267,,,8.78859857482186,False,28.828828828828836,46.87499999999999
2024-10-24,TC,False,True,863.0,35.6,34.6,2.1999999999999957,0.0,0.0,2.8089887640449436,True,11.801242236024835,36.84210526315788
2024-10-24,UPXI,True,True,608.0,3.9412,3.91,1.5641025641025934,0.0,,0.7916370648533358,False,18.15561959654177,30.158730158730105
,,True,False,,,,,,,,,,
2024-10-24,UPXI,False,True,934.0,3.15,3.0899,1.3311148086522515,0.0,,1.9079365079365023,True,7.094594594594594,38.142857142857075
,,False,False,,,,,,,,,,
2024-11-05,BJDX,False,True,927.0,27.1,26.6,1.3999999999999986,1.0,,1.8450184501845017,True,5.181747873163187,44.77611940298492
2024-11-05,BJDX,False,True,949.0,28.02,27.6,2.3333333333333446,1.0,1.0,1.4989293361884302,True,5.145413870246081,43.47826086956509
,,False,False,,,,,,,,,,
2024-11-11,FGL,False,True,623.0,159.14,156.5,2.219696969696986,0.0,2.0,1.658916677139617,True,11.026299354659624,22.026431718061694
2024-11-12,BTCT,False,True,275.0,4.04,3.89,1.3333333333333353,1.0,,3.712871287128711,False,10.958904109589039,39.999999999999936
